# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
    -12.00000000    100.84820079
    -11.99449862    107.02195959
    -11.98899725    105.25988519
    -11.98349587    109.97900331
    -11.97799450     98.14129111
    -11.97249312     96.25118327
    -11.96699175     95.44200521
    -11.96149037     94.78443112
    -11.95598900     94.50014080
    -11.95048762     97.86651812
    -11.94498625     96.79920412
    -11.93948487     96.15596265
    -11.93398350     98.48163929
    -11.92848212     97.31088603
    -11.92298075     98.59280900
    -11.91747937     99.44521256
    -11.91197799    100.25113003
    -11.90647662    101.21271991
    -11.90097524    103.52489290
    -11.89547387    100.18266293
    -11.88997249    100.90319816
    -11.88447112    100.93069396
    -11.87896974     99.25614684
    -11.87346837     96.22465991
    -11.86796699     96.64494999
    -11.86246562     97.20886916
    -11.85696424     99.11023251
    -11.85146287     98.65173975
    -11.84596149     99.67880236
    -11.84046012    101.13183752
    -11.83495874     99.58960261
    -11.82945736     99.19995760
    -11.82395599     98.46124527
    -11.81845461     99.56218828
    -11.81295324    101.04142718
    -11.80745186    103.21288264
    -11.80195049    100.96435860
    -11.79644911    101.88015210
    -11.79094774     99.52161609
    -11.78544636    100.90818970
    -11.77994499    100.33892442
    -11.77444361    100.22199995
    -11.76894224     97.28512400
    -11.76344086     94.89374094
    -11.75793948     94.46074166
    -11.75243811     94.93961114
    -11.74693673     97.74839662
    -11.74143536    105.82861951
    -11.73593398    105.82000935
    -11.73043261    110.61352593
    -11.72493123    109.54714027
    -11.71942986    111.54643939
    -11.71392848    111.82256583
    -11.70842711    110.72050207
    -11.70292573    111.19088132
    -11.69742436    110.79349100
    -11.69192298    108.91457930
    -11.68642161    105.19333572
    -11.68092023    103.72958711
    -11.67541885    102.38231698
    -11.66991748    102.58322393
    -11.66441610    103.74662890
    -11.65891473    100.80718390
    -11.65341335    100.91007039
    -11.64791198    104.98583547
    -11.64241060    105.94984427
    -11.63690923    104.80323972
    -11.63140785    103.73660594
    -11.62590648    100.41339581
    -11.62040510    101.26108230
    -11.61490373    101.07581770
    -11.60940235    101.10786709
    -11.60390098    107.09111301
    -11.59839960    112.85679409
    -11.59289822    108.93136525
    -11.58739685    102.96342968
    -11.58189547    100.57947752
    -11.57639410    104.20654203
    -11.57089272    107.25093329
    -11.56539135    110.90049526
    -11.55988997    114.40233069
    -11.55438860    114.21388696
    -11.54888722    115.23365528
    -11.54338585    118.70703181
    -11.53788447    122.96114286
    -11.53238310    125.32531375
    -11.52688172    126.45247675
    -11.52138035    136.07071493
    -11.51587897    133.28042582
    -11.51037759    133.13385850
    -11.50487622    131.91346826
    -11.49937484    133.77284460
    -11.49387347    135.53008928
    -11.48837209    146.22247808
    -11.48287072    152.07043015
    -11.47736934    147.62952987
    -11.47186797    149.73229911
    -11.46636659    158.39226914
    -11.46086522    155.62212584
    -11.45536384    156.18326843
    -11.44986247    156.94760737
    -11.44436109    164.71384081
    -11.43885971    165.93236904
    -11.43335834    162.42620721
    -11.42785696    164.82661058
    -11.42235559    169.32721957
    -11.41685421    172.16418980
    -11.41135284    168.84046364
    -11.40585146    174.88755574
    -11.40035009    158.20139626
    -11.39484871    153.15478376
    -11.38934734    162.90996986
    -11.38384596    166.84569920
    -11.37834459    152.36383159
    -11.37284321    154.30745376
    -11.36734184    165.76332853
    -11.36184046    181.63219302
    -11.35633908    165.00917359
    -11.35083771    177.98605498
    -11.34533633    173.36856416
    -11.33983496    166.62144622
    -11.33433358    164.44510056
    -11.32883221    157.48925622
    -11.32333083    150.77708847
    -11.31782946    149.56045436
    -11.31232808    136.32149712
    -11.30682671    138.07397350
    -11.30132533    144.28955013
    -11.29582396    148.35001415
    -11.29032258    146.11599145
    -11.28482121    151.29971326
    -11.27931983    151.89489722
    -11.27381845    147.41114980
    -11.26831708    144.10690132
    -11.26281570    145.27260990
    -11.25731433    146.86031159
    -11.25181295    142.51376921
    -11.24631158    144.75037078
    -11.24081020    139.77010361
    -11.23530883    139.50148589
    -11.22980745    137.05704318
    -11.22430608    139.84443019
    -11.21880470    149.51145532
    -11.21330333    161.13143638
    -11.20780195    164.80067489
    -11.20230058    164.90545008
    -11.19679920    167.20413046
    -11.19129782    165.90796193
    -11.18579645    158.59540336
    -11.18029507    150.47723021
    -11.17479370    143.22112734
    -11.16929232    141.65107295
    -11.16379095    138.51345048
    -11.15828957    142.66402599
    -11.15278820    145.71468199
    -11.14728682    142.90238894
    -11.14178545    159.90547510
    -11.13628407    154.91550068
    -11.13078270    152.30719521
    -11.12528132    150.01467347
    -11.11977994    155.14992303
    -11.11427857    153.58698677
    -11.10877719    156.39664238
    -11.10327582    159.19963371
    -11.09777444    157.38789678
    -11.09227307    157.51017733
    -11.08677169    158.75587938
    -11.08127032    154.67692924
    -11.07576894    162.50600945
    -11.07026757    153.51931337
    -11.06476619    161.43677792
    -11.05926482    162.78715294
    -11.05376344    162.81112598
    -11.04826207    165.54253338
    -11.04276069    164.16306726
    -11.03725931    164.26426014
    -11.03175794    166.05936310
    -11.02625656    170.60259319
    -11.02075519    158.36970069
    -11.01525381    177.09183678
    -11.00975244    165.36788920
    -11.00425106    154.54627736
    -10.99874969    148.71106965
    -10.99324831    141.95716020
    -10.98774694    146.10693203
    -10.98224556    141.62406131
    -10.97674419    133.79853195
    -10.97124281    122.05982626
    -10.96574144    120.68527618
    -10.96024006    127.18887770
    -10.95473868    128.91789702
    -10.94923731    133.53957530
    -10.94373593    143.67849197
    -10.93823456    146.10372581
    -10.93273318    143.63323666
    -10.92723181    146.00963695
    -10.92173043    142.32314186
    -10.91622906    141.10247451
    -10.91072768    133.10086243
    -10.90522631    132.21746266
    -10.89972493    128.58122975
    -10.89422356    129.43053071
    -10.88872218    130.93408660
    -10.88322081    129.15610421
    -10.87771943    127.90939437
    -10.87221805    131.06669899
    -10.86671668    124.60584933
    -10.86121530    120.92197143
    -10.85571393    119.40788657
    -10.85021255    123.88610720
    -10.84471118    121.63576416
    -10.83920980    119.62723742
    -10.83370843    121.23420130
    -10.82820705    126.97694349
    -10.82270568    138.92326313
    -10.81720430    145.51797038
    -10.81170293    150.14427016
    -10.80620155    153.48388440
    -10.80070018    136.97837386
    -10.79519880    134.08923481
    -10.78969742    131.20866998
    -10.78419605    128.47684125
    -10.77869467    127.10154024
    -10.77319330    128.38274735
    -10.76769192    128.19840051
    -10.76219055    128.53454259
    -10.75668917    127.91907954
    -10.75118780    129.39357004
    -10.74568642    145.46248244
    -10.74018505    133.88711631
    -10.73468367    126.61071056
    -10.72918230    144.21821603
    -10.72368092    128.01728888
    -10.71817954    128.86392334
    -10.71267817    144.05777590
    -10.70717679    159.11179968
    -10.70167542    162.17953364
    -10.69617404    165.94509445
    -10.69067267    177.61039169
    -10.68517129    177.95442618
    -10.67966992    190.51153620
    -10.67416854    185.19740325
    -10.66866717    182.99658245
    -10.66316579    179.62465003
    -10.65766442    179.82470029
    -10.65216304    167.37135359
    -10.64666167    155.57870390
    -10.64116029    157.91863725
    -10.63565891    171.85667398
    -10.63015754    173.26587813
    -10.62465616    167.55284465
    -10.61915479    165.90134180
    -10.61365341    162.31534005
    -10.60815204    156.51785117
    -10.60265066    145.53902345
    -10.59714929    144.67604858
    -10.59164791    147.87798619
    -10.58614654    157.42630190
    -10.58064516    154.87589759
    -10.57514379    154.76044630
    -10.56964241    159.91108132
    -10.56414104    159.45742840
    -10.55863966    162.22941852
    -10.55313828    153.21321365
    -10.54763691    155.56042674
    -10.54213553    149.10576048
    -10.53663416    138.68057793
    -10.53113278    132.50117471
    -10.52563141    136.72699996
    -10.52013003    134.02838752
    -10.51462866    138.09852575
    -10.50912728    137.00469553
    -10.50362591    140.70362942
    -10.49812453    144.39309343
    -10.49262316    147.67594445
    -10.48712178    149.86937883
    -10.48162041    145.71881170
    -10.47611903    142.88984309
    -10.47061765    144.81332753
    -10.46511628    139.22214359
    -10.45961490    145.66044532
    -10.45411353    148.43779094
    -10.44861215    154.79038438
    -10.44311078    150.41751849
    -10.43760940    157.57557507
    -10.43210803    172.69843738
    -10.42660665    156.90711754
    -10.42110528    156.49938220
    -10.41560390    153.08446191
    -10.41010253    151.40637198
    -10.40460115    148.18425136
    -10.39909977    147.19238947
    -10.39359840    140.39522437
    -10.38809702    142.86138512
    -10.38259565    157.23281632
    -10.37709427    186.64401477
    -10.37159290    194.68472305
    -10.36609152    192.66869163
    -10.36059015    182.06363394
    -10.35508877    173.77896922
    -10.34958740    169.21720089
    -10.34408602    162.34023679
    -10.33858465    175.62881268
    -10.33308327    177.10610229
    -10.32758190    166.35224057
    -10.32208052    173.41029698
    -10.31657914    178.19003358
    -10.31107777    183.91521269
    -10.30557639    189.23296018
    -10.30007502    182.04764773
    -10.29457364    162.54961622
    -10.28907227    145.33542158
    -10.28357089    140.68652578
    -10.27806952    142.56561269
    -10.27256814    140.09517573
    -10.26706677    143.22522435
    -10.26156539    136.89998719
    -10.25606402    132.46230876
    -10.25056264    139.87040465
    -10.24506127    146.88848780
    -10.23955989    151.09333793
    -10.23405851    147.16639103
    -10.22855714    156.21820127
    -10.22305576    160.56925508
    -10.21755439    159.73869028
    -10.21205301    160.41798490
    -10.20655164    164.86423771
    -10.20105026    172.35938521
    -10.19554889    170.61299026
    -10.19004751    168.53593138
    -10.18454614    165.48658541
    -10.17904476    163.29051617
    -10.17354339    178.57784101
    -10.16804201    159.38466676
    -10.16254064    159.93674905
    -10.15703926    156.17536285
    -10.15153788    150.56878806
    -10.14603651    142.37584593
    -10.14053513    146.83986998
    -10.13503376    146.91830133
    -10.12953238    141.40486214
    -10.12403101    143.93517104
    -10.11852963    156.67625743
    -10.11302826    144.29737456
    -10.10752688    138.79576242
    -10.10202551    137.56921427
    -10.09652413    134.82318432
    -10.09102276    139.07046435
    -10.08552138    144.20134761
    -10.08002001    134.52378676
    -10.07451863    131.25611062
    -10.06901725    125.93272598
    -10.06351588    140.31740138
    -10.05801450    129.74767896
    -10.05251313    127.52551470
    -10.04701175    122.71540602
    -10.04151038    124.17231734
    -10.03600900    124.47682387
    -10.03050763    123.62929353
    -10.02500625    121.65383325
    -10.01950488    123.46255917
    -10.01400350    126.12374083
    -10.00850213    129.37902035
    -10.00300075    133.43621229
     -9.99749937    135.02757220
     -9.99199800    135.51905777
     -9.98649662    140.51779681
     -9.98099525    149.82708043
     -9.97549387    138.84779146
     -9.96999250    133.71091816
     -9.96449112    133.21225460
     -9.95898975    135.18590973
     -9.95348837    140.36184210
     -9.94798700    135.18739117
     -9.94248562    128.01894263
     -9.93698425    126.17310024
     -9.93148287    125.71060478
     -9.92598150    123.73328374
     -9.92048012    122.49933681
     -9.91497874    128.46026981
     -9.90947737    128.50800640
     -9.90397599    127.30087743
     -9.89847462    128.30309617
     -9.89297324    132.10841031
     -9.88747187    133.03347162
     -9.88197049    131.09711725
     -9.87646912    133.96878197
     -9.87096774    134.25684217
     -9.86546637    131.59411182
     -9.85996499    130.15853232
     -9.85446362    125.83355037
     -9.84896224    122.73180992
     -9.84346087    122.42991364
     -9.83795949    127.14283064
     -9.83245811    129.63647824
     -9.82695674    129.44530260
     -9.82145536    123.66608420
     -9.81595399    120.94867699
     -9.81045261    122.07012527
     -9.80495124    119.97375344
     -9.79944986    132.06370221
     -9.79394849    127.87404646
     -9.78844711    128.01723651
     -9.78294574    129.21971021
     -9.77744436    134.02610070
     -9.77194299    128.93630622
     -9.76644161    133.22772595
     -9.76094024    139.97971350
