# total density of states output by FHI-aims 
# The energy reference for this output is the average chemical potential, mu =       -7.295717 eV
#    Energy (eV)      DOS 
    -92.70428251      0.00000000
    -92.70318250      0.00000000
    -92.70208248      0.00000000
    -92.70098247      0.00000000
    -92.69988246      0.00000000
    -92.69878245      0.00000000
    -92.69768244      0.00000000
    -92.69658243      0.00000000
    -92.69548242      0.00000000
    -92.69438241      0.00000000
    -92.69328240      0.00000000
    -92.69218239      0.00000000
    -92.69108237      0.00000000
    -92.68998236      0.00000000
    -92.68888235      0.00000000
    -92.68778234      0.00000000
    -92.68668233      0.00000000
    -92.68558232      0.00000000
    -92.68448231      0.00000000
    -92.68338230      0.00000000
    -92.68228229      0.00000000
    -92.68118228      0.00000000
    -92.68008226      0.00000000
    -92.67898225      0.00000000
    -92.67788224      0.00000000
    -92.67678223      0.00000000
    -92.67568222      0.00000000
    -92.67458221      0.00000000
    -92.67348220      0.00000000
    -92.67238219      0.00000000
    -92.67128218      0.00000000
    -92.67018217      0.00000000
    -92.66908215      0.00000000
    -92.66798214      0.00000000
    -92.66688213      0.00000000
    -92.66578212      0.00000000
    -92.66468211      0.00000000
    -92.66358210      0.00000000
    -92.66248209      0.00000000
    -92.66138208      0.00000000
    -92.66028207      0.00000000
    -92.65918206      0.00000000
    -92.65808204      0.00000000
    -92.65698203      0.00000000
    -92.65588202      0.00000000
    -92.65478201      0.00000000
    -92.65368200      0.00000000
    -92.65258199      0.00000000
    -92.65148198      0.00000000
    -92.65038197      0.00000000
    -92.64928196      0.00000000
    -92.64818195      0.00000000
    -92.64708193      0.00000000
    -92.64598192      0.00000000
    -92.64488191      0.00000000
    -92.64378190      0.00000000
    -92.64268189      0.00000000
    -92.64158188      0.00000000
    -92.64048187      0.00000000
    -92.63938186      0.00000000
    -92.63828185      0.00000000
    -92.63718184      0.00000000
    -92.63608182      0.00000000
    -92.63498181      0.00000000
    -92.63388180      0.00000000
    -92.63278179      0.00000000
    -92.63168178      0.00000000
    -92.63058177      0.00000000
    -92.62948176      0.00000000
    -92.62838175      0.00000000
    -92.62728174      0.00000000
    -92.62618173      0.00000000
    -92.62508171      0.00000000
    -92.62398170      0.00000000
    -92.62288169      0.00000000
    -92.62178168      0.00000000
    -92.62068167      0.00000000
    -92.61958166      0.00000000
    -92.61848165      0.00000000
    -92.61738164      0.00000000
    -92.61628163      0.00000000
    -92.61518162      0.00000000
    -92.61408160      0.00000000
    -92.61298159      0.00000000
    -92.61188158      0.00000000
    -92.61078157      0.00000000
    -92.60968156      0.00000000
    -92.60858155      0.00000000
    -92.60748154      0.00000000
    -92.60638153      0.00000000
    -92.60528152      0.00000000
    -92.60418151      0.00000000
    -92.60308149      0.00000000
    -92.60198148      0.00000000
    -92.60088147      0.00000000
    -92.59978146      0.00000000
    -92.59868145      0.00000000
    -92.59758144      0.00000000
    -92.59648143      0.00000000
    -92.59538142      0.00000000
    -92.59428141      0.00000000
    -92.59318140      0.00000000
    -92.59208138      0.00000000
    -92.59098137      0.00000000
    -92.58988136      0.00000000
    -92.58878135      0.00000000
    -92.58768134      0.00000000
    -92.58658133      0.00000000
    -92.58548132      0.00000000
    -92.58438131      0.00000000
    -92.58328130      0.00000000
    -92.58218129      0.00000000
    -92.58108127      0.00000000
    -92.57998126      0.00000000
    -92.57888125      0.00000000
    -92.57778124      0.00000000
    -92.57668123      0.00000000
    -92.57558122      0.00000000
    -92.57448121      0.00000000
    -92.57338120      0.00000000
    -92.57228119      0.00000000
    -92.57118118      0.00000000
    -92.57008116      0.00000000
    -92.56898115      0.00000000
    -92.56788114      0.00000000
    -92.56678113      0.00000000
    -92.56568112      0.00000000
    -92.56458111      0.00000000
    -92.56348110      0.00000000
    -92.56238109      0.00000000
    -92.56128108      0.00000000
    -92.56018107      0.00000000
    -92.55908105      0.00000000
    -92.55798104      0.00000000
    -92.55688103      0.00000000
    -92.55578102      0.00000000
    -92.55468101      0.00000000
    -92.55358100      0.00000000
    -92.55248099      0.00000000
    -92.55138098      0.00000000
    -92.55028097      0.00000000
    -92.54918096      0.00000000
    -92.54808094      0.00000000
    -92.54698093      0.00000000
    -92.54588092      0.00000000
    -92.54478091      0.00000000
    -92.54368090      0.00000000
    -92.54258089      0.00000000
    -92.54148088      0.00000000
    -92.54038087      0.00000000
    -92.53928086      0.00000000
    -92.53818085      0.00000000
    -92.53708083      0.00000000
    -92.53598082      0.00000000
    -92.53488081      0.00000000
    -92.53378080      0.00000000
    -92.53268079      0.00000000
    -92.53158078      0.00000000
    -92.53048077      0.00000000
    -92.52938076      0.00000000
    -92.52828075      0.00000000
    -92.52718074      0.00000000
    -92.52608072      0.00000000
    -92.52498071      0.00000000
    -92.52388070      0.00000000
    -92.52278069      0.00000000
    -92.52168068      0.00000000
    -92.52058067      0.00000000
    -92.51948066      0.00000000
    -92.51838065      0.00000000
    -92.51728064      0.00000000
    -92.51618063      0.00000000
    -92.51508061      0.00000000
    -92.51398060      0.00000000
    -92.51288059      0.00000000
    -92.51178058      0.00000000
    -92.51068057      0.00000000
    -92.50958056      0.00000000
    -92.50848055      0.00000000
    -92.50738054      0.00000000
    -92.50628053      0.00000000
    -92.50518052      0.00000000
    -92.50408050      0.00000000
    -92.50298049      0.00000000
    -92.50188048      0.00000000
    -92.50078047      0.00000000
    -92.49968046      0.00000000
